SN,TN,CN,tgtsize,hand_theta,hand_theta_maxv,hand_theta_maxradv,handMaxRadExt,hand_theta_50,raw_ep_hand_ang,ti,fbi,ri,MT,RT,ST,radvelmax,maxRadDist,testMaxRadDist
1,1,1,8.30174059827877,-37.2226039914577,-44.1300302780989,-119.452827848511,-37.2226039914577,-48.8687667298653,-37.2226039914577,0,0,75,0.108073693999998,0.764024110999962,42.351042971,5176.11362603383,121.197872423132,121.197872423132
1,2,1,8.30174059827877,-86.8335319345252,-85.2959488462647,-86.8335319345252,-87.2466406198697,-114.662104948322,93.1664680654748,180,0,75,0.0751988729999979,0.569596240999999,3.94394414899995,3001.90696575285,92.9024409423275,92.9024409423275
1,3,1,8.30174059827877,-82.1127089314151,-78.8169088323179,-82.1127089314151,-81.2265809209855,146.254449825487,37.8872910685849,120,0,75,0.122086705999997,0.551029437999993,1.00919718399999,3529.22184208932,80.5397636427527,80.5397636427527
1,4,1,8.30174059827877,-92.2957021600896,-93.3344503378359,-92.2957021600896,-90.7690483858316,-109.278600159208,57.7042978399104,150,0,75,0.0802983100000034,0.480937644000001,0.919919534000002,3504.24332753352,84.9914581190459,84.9914581190459
1,5,1,8.30174059827877,-79.3642497810442,-74.9957985587185,-79.3642497810442,-78.2826795547743,-119.141859093141,10.6357502189559,90,0,75,0.0950935790000074,0.499743299999999,1.201489764,1177.45044829021,86.4942194754089,86.4942194754089
1,6,2,8.30174059827877,-69.8510863267475,-69.8510863267475,-69.8510863267475,-69.2953868616911,-35.6382217657982,140.148913673252,210,0,75,0.0715749820000013,0.552808913999996,1.24512073200002,5210.75617179713,86.7162968953092,86.7162968953092
1,7,2,8.30174059827877,-84.4500622221751,-88.016777124797,-84.4500622221751,-85.8281047101929,130.753106911562,155.549937777825,240,0,75,0.0660685730000097,0.619025807000028,1.92246055799997,2041.03249360436,81.5419808373518,81.5419808373518
1,8,2,8.30174059827877,-74.0835793328815,-77.7265799804985,-153.655709091386,NaN,-163.830532726551,-104.083579332881,330,0,75,0.105535506999999,0.551597524999991,1.13943021300001,1352.16280952984,NaN,71.4259862651893
1,9,2,8.30174059827877,-70.2765805475222,-70.2765805475222,157.139704233152,NaN,-127.539785486936,-10.2765805475222,60,0,75,0.139152666000001,0.459462987999999,1.07727416999998,44.6062400225453,NaN,58.8920828332748
1,10,2,8.30174059827877,-78.0321601999094,-79.5062339531744,-78.0321601999094,-77.3392735983143,-140.384888347694,-138.032160199909,300,0,75,0.0667677460000107,0.568640380999952,0.954400655000015,3854.07883326339,91.9000029851762,91.9000029851762
1,11,3,8.30174059827877,-53.3698620535533,-72.9101381663883,-53.3698620535533,-54.2710337719024,-165.009379609234,-143.369862053553,270,0,75,0.0724728520000184,0.569335053999993,1.61913288600006,2372.81759765431,94.2267902321044,94.2267902321044
1,12,3,8.30174059827877,-76.0783993822267,-76.3598640397713,-76.0783993822267,NaN,-74.3922174991084,-46.0783993822267,30,0,75,0.107850826000004,0.517382934999986,1.28823711000001,1342.61535257,NaN,69.865784850778
1,13,3,8.30174059827877,-59.3328902292828,-62.7568006280862,-59.3328902292828,-58.2327609941995,-164.93767889773,-149.332890229283,270,0,75,0.111220584999998,0.554080319000008,1.88500236300003,2019.65120281524,92.4337045575109,92.4337045575109
1,14,3,8.30174059827877,-74.1735568166865,-93.0630571369761,145.133132746065,-73.4692475224891,155.907384532751,-134.173556816687,300,0,75,0.107249769999996,0.491425862,1.479544706,3633.57623413453,82.9345654856476,82.9345654856476
1,15,3,8.30174059827877,-62.1265592107243,-55.5683659230672,3.14911459290576,NaN,-115.91428364632,27.8734407892757,90,0,75,0.147520326999995,0.525666588000021,1.13882942499995,420.314488455753,NaN,62.9632579372345
1,16,4,8.30174059827877,-69.3673433784951,-73.3750007819092,-69.3673433784951,NaN,-72.618617381822,-69.3673433784951,0,0,75,0.068010061999999,0.54996602600005,1.001797857,2307.34081752599,NaN,78.5354097089113
1,17,4,8.30174059827877,-93.0136931174991,-97.4775017950165,-119.895580207114,NaN,-129.527306268662,-123.013693117499,330,0,75,0.116737803000007,0.592585174000021,1.08878408000004,5697.18431168644,NaN,73.1068819684159
1,18,4,8.30174059827877,-54.6012777635761,-51.0524152451844,-51.0524152451844,NaN,-73.9382005590546,5.39872223642389,60,0,75,0.115327223999998,0.499315008999972,1.41447234600003,2624.2197912134,NaN,65.5849854282302
1,19,4,8.30174059827877,-88.5630264844876,-88.1396347256956,-88.5630264844876,NaN,-124.717429992366,91.4369735155124,180,0,75,0.0688587010000106,0.540779873000005,1.37530918400002,2117.59516366452,NaN,74.0600426862352
1,20,4,8.30174059827877,-59.0383809866406,-59.0383809866406,-59.0383809866406,-55.9458443437681,-54.1957026307132,-179.038380986641,240,0,75,0.0609266029999844,0.610607424000023,0.922087282999939,4298.78275696703,102.317176127754,102.317176127754
1,21,5,8.30174059827877,-69.3299590903454,-61.5383843330319,-69.3299590903454,-65.1604567785314,98.2651585742519,140.670040909655,210,0,75,0.0856136069999991,0.543697412000029,1.75065198499996,1989.35528843707,81.2122486967948,81.2122486967948
1,22,5,8.30174059827877,-59.932269323197,-60.156087528392,-59.932269323197,NaN,-62.6999206115457,-29.932269323197,30,0,75,0.0648955499999602,0.492624473000006,1.21252106200012,2337.25228497576,NaN,77.1760664243061
1,23,5,8.30174059827877,-94.6048492786534,-90.9081152773999,-94.6048492786534,-92.987958049011,-82.6689130407612,55.3951507213466,150,0,75,0.103012495000002,0.49229648900004,1.28329954700001,1803.49711811105,81.6678761883306,81.6678761883306
1,24,5,8.30174059827877,-83.7720949587194,-79.7849123933548,-83.7720949587194,NaN,-58.7035640847382,36.2279050412807,120,0,75,0.112142785000003,0.540947260999985,1.23134766499999,132.904185691913,NaN,70.1256966718803
1,25,5,8.30174059827877,-85.4536242216147,-85.4103981054747,-85.4536242216147,NaN,-99.0001877482446,34.5463757783853,120,0,75,0.134339279000017,0.463203472000004,0.949578842999983,1737.43397265038,NaN,73.7434911170428
1,26,6,8.30174059827877,-78.863414771554,-78.863414771554,-78.863414771554,-77.8316221499231,-52.5085321981231,-138.863414771554,300,0,75,0.0574931280000044,0.521632686999993,1.52020391099998,6877.72423149946,113.103085887858,113.103085887858
1,27,6,8.30174059827877,-86.083903266798,-91.7284680867903,-86.083903266798,-85.8036378934016,24.3565072131011,-26.083903266798,60,0,75,0.0647597360000418,0.516724229000033,1.40056277700009,3256.42481171962,82.541507956289,82.541507956289
1,28,6,8.30174059827877,-68.5448708828998,-61.846488485618,-68.5448708828998,-66.8415395044878,-86.1283429160221,21.4551291171002,90,0,75,0.101808887999994,0.490616036000063,1.49444029299977,2668.24837891324,81.7693966333957,81.7693966333957
1,29,6,8.30174059827877,-88.6186923759931,-85.0978243109857,-88.6186923759931,-85.9284310038395,-72.946059965717,61.3813076240069,150,0,75,0.106152344000009,0.46474637700004,0.992127965000009,1580.22001598017,80.9910723982528,80.9910723982528
1,30,6,8.30174059827877,-76.4296178749869,-73.6265741448052,-76.4296178749869,-71.8701614844921,-66.5450934898669,-76.4296178749869,0,0,75,0.0687968240000032,0.555021784000019,0.894773770999933,3803.98584801402,82.2289745271964,82.2289745271964
1,31,7,8.30174059827877,-86.0745943399012,-84.8422187819158,2.17228180006498,NaN,151.211493574444,123.925405660099,210,0,75,0.140557644000012,0.496288732999972,1.32819359400003,683.000343805723,NaN,58.6115701436847
1,32,7,8.30174059827877,-51.1998437627308,-51.9727159330179,-51.1998437627308,-49.7503854352361,-65.3927484211814,-141.199843762731,270,0,75,0.0928781009999966,0.557081079999961,1.25780649199996,1145.3952003579,101.373666241563,101.373666241563
1,33,7,8.30174059827877,-89.1113624841486,-91.8195868505593,-89.1113624841486,-91.7676882010352,-98.1422230812078,90.8886375158514,180,0,75,0.0798299260000022,0.562449610000044,1.23947253200006,4400.22488004865,103.199859587394,103.199859587394
1,34,7,8.30174059827877,-62.753483234474,-81.8768919652022,-62.753483234474,-62.1859159197637,64.3240351058499,-32.753483234474,30,0,75,0.0981912099999818,0.561012126000094,1.12408850899996,1229.4502042706,84.620729399175,84.620729399175
1,35,7,8.30174059827877,-103.389688023735,-120.085542617885,-103.389688023735,NaN,-132.591443080025,-133.389688023735,330,0,75,0.0604985520000128,0.534134088999963,1.08033940799996,4947.91724613879,NaN,111.46644670515
1,36,8,8.30174059827877,-72.3456141502668,-76.0326415980983,-72.3456141502668,-66.0023261580399,-114.397180706871,167.654385849733,240,0,75,0.0611666570000011,0.608031006999994,1.38488092700004,4233.64662013792,92.9371808416117,92.9371808416117
1,37,8,8.30174059827877,-60.5910582037754,-63.1183965689356,-60.5910582037754,NaN,-86.4156693699206,-0.59105820377537,60,0,75,0.0894447839999941,0.554875052000028,1.09037709400008,4091.52121977765,NaN,81.7580882818604
1,38,8,8.30174059827877,-87.8676922662574,-89.8709902178695,-87.8676922662574,NaN,70.5357004347204,-147.867692266257,300,0,75,0.077423873000015,0.593817284000068,1.08947031099993,2116.49266842673,NaN,78.7544239663518
1,39,8,8.30174059827877,-88.6574733645125,-79.7409186795199,1.27776090762859,-84.0936686445655,-72.3398623421925,-178.657473364512,270,0,75,0.0910939470000187,0.591060575999933,1.45872753300011,5052.10942460159,83.74844188187,83.74844188187
1,40,8,8.30174059827877,-81.6388587292152,-75.5006460918559,-81.6388587292152,NaN,2.20073457378594,8.3611412707848,90,0,75,0.135019447000019,0.538426440000052,1.33863866000002,770.866938727029,NaN,64.0564990161082
1,41,9,8.30174059827877,-64.0884385831794,-5.61148702312843,-5.61148702312843,NaN,-18.8844538633659,115.911561416821,180,0,75,0.118423561000014,0.560433833000019,1.10956449299991,5387.97469873102,NaN,69.3529972386618
1,42,9,8.30174059827877,-42.8609767804162,-20.879985906661,-42.8609767804162,NaN,51.31046552699,-72.8609767804162,330,0,75,0.10655652600002,0.537142416999984,1.13728410199997,1613.15724221809,NaN,72.2460891244012
1,43,9,8.30174059827877,-90.182251521862,-90.182251521862,-90.182251521862,NaN,-78.89322942088,29.817748478138,120,0,75,0.0729810920000205,0.579798007999955,1.64086938599988,5652.77387069691,NaN,94.5232424587279
1,44,9,8.30174059827877,-70.7197313589489,-70.7197313589489,-70.7197313589489,-65.2162416783296,-71.1443663387282,-40.7197313589489,30,0,75,0.0570615630000191,0.589127920000095,1.68868228200003,4978.67525195008,107.928013698529,107.928013698529
1,45,9,8.30174059827877,-94.4194726013883,-93.5220335556352,-94.4194726013883,NaN,-71.5783686852136,55.5805273986117,150,0,75,0.108334451000019,0.543524644999991,1.615910641,2583.52160024758,NaN,101.71511850444
1,46,10,8.30174059827877,-82.530434384444,-82.2988424218487,-82.530434384444,NaN,-32.7353010114341,127.469565615556,210,0,75,0.108006825000018,0.594647436000031,1.34895214100004,2148.37883533716,NaN,73.6617244706009
1,47,10,8.30174059827877,-87.7879106203864,-90.0747271661055,-147.440468791673,NaN,101.1413817735,152.212089379614,240,0,75,0.135295741000022,0.604498125999982,1.01097415400008,2650.67958569394,NaN,76.1715055396934
1,48,10,8.30174059827877,-76.6466843159982,-73.1689400494726,-76.6466843159982,-73.0146175486265,-48.4701561596454,-76.6466843159982,0,0,75,0.0571608360000369,0.620033825000064,1.75923131199997,5226.13655431478,103.722688060175,143.09926924306
1,49,10,8.30174059827877,-88.710554697541,-100.392280215964,-88.710554697541,-88.8172314658065,81.9356814451027,91.289445302459,180,0,75,0.0642372650000311,0.593181164999805,6.49120349100036,3589.25494544704,93.5544985466594,93.5544985466594
1,50,10,8.30174059827877,-82.9205095887309,-82.9205095887309,-82.9205095887309,NaN,122.3752098067,7.07949041126914,90,0,75,0.096870502999991,0.48447498600018,1.09531892199988,2738.52182347154,NaN,76.5478241866667
1,51,11,8.30174059827877,-99.7523258460564,-95.482781032223,-99.7523258460564,-97.6220784314132,135.769086785944,-129.752325846056,330,0,75,0.0627913739999713,0.621128839000107,6.18390538399973,4922.4637083061,108.090193987339,108.090193987339
