SN,TN,CN,tgtsize,hand_theta,hand_theta_maxv,hand_theta_maxradv,handMaxRadExt,hand_theta_50,raw_ep_hand_ang,ti,fbi,ri,MT,RT,ST,radvelmax,maxRadDist,testMaxRadDist
1,1,1,8.30174059827877,-56.2999091589193,-49.5026408947938,-56.2999091589193,-53.0272055313526,-24.1317821031691,153.700090841081,210,0,75,0.0644911700000037,0.766953677000011,49.146056762,7131.6086663389,104.36825555521,104.36825555521
1,2,1,8.30174059827877,-81.5692725826539,-68.6094160231037,-81.5692725826539,-72.7451461341915,-52.6918888953341,38.4307274173461,120,0,75,0.0978639730000097,0.456297433999993,1.95062803000002,12463.1432980809,150.725609123923,150.725609123923
1,3,1,8.30174059827877,-87.8824715022673,-86.2581256646805,-87.8824715022673,-88.5920330036402,106.434814200291,152.117528497733,240,0,75,0.107190226,0.547267767000008,1.77719557799995,1678.17451022221,97.3734820133712,97.3734820133712
1,4,1,8.30174059827877,-65.1695591682243,-57.8977130799262,-65.1695591682243,NaN,89.8166777213829,-5.16955916822431,60,0,75,0.114127981999999,0.474493662,1.294128089,1181.15421298461,NaN,74.2217131606667
1,5,1,8.30174059827877,-76.3714912420723,-76.3714912420723,-76.3714912420723,-70.5313460124649,-161.502172451628,-76.3714912420723,0,0,75,0.077077234000015,0.527045601000012,0.98660168699999,4842.97440464937,86.7901288886319,86.7901288886319
1,6,2,8.30174059827877,-74.3942548990872,-77.5634055679605,-74.3942548990872,-77.5634055679605,134.962407090353,105.605745100913,180,0,75,0.0750247830000035,0.56280639500001,1.281196505,4945.13322815529,106.397004471245,106.397004471245
1,7,2,8.30174059827877,-87.784418509387,-145.280541571503,-87.8583274355756,NaN,175.577766812337,-117.784418509387,330,0,75,0.102590058999994,0.454036634000005,1.693285972,1249.16684300461,NaN,75.0368573032295
1,8,2,8.30174059827877,-88.8295916229741,-76.3219123546995,-88.8295916229741,-79.3578714699042,102.093985528539,-148.829591622974,300,0,75,0.0753252199999963,0.546748819000058,1.53270389899998,4840.64562901895,109.483457185503,109.483457185503
1,9,2,8.30174059827877,-57.4680255561135,-65.9434617392945,-57.4680255561135,-59.1906753346753,175.049194321639,-147.468025556113,270,0,75,0.0771834380000058,0.593583475000017,1.85021716300004,3418.12639579296,104.853310351742,104.853310351742
1,10,2,8.30174059827877,-67.3330773701082,-66.720302912182,-67.3330773701082,-66.712087658048,-20.0655240359178,22.6669226298918,90,0,75,0.108375062000007,0.492154163000023,1.19433605099999,1032.97343964813,94.9150782711875,94.9150782711875
